nm,n,k ,,,nm
0.35,4.66741908,2.54837049,,,350
0.351,4.67537565,2.53793192,,,351
0.352,4.6835988,2.52738273,,,352
0.353,4.69207753,2.51670177,,,353
0.354,4.70080109,2.50585196,,,354
0.355,4.7097525,2.49481936,,,355
0.356,4.71885918,2.48354629,,,356
0.357,4.72810349,2.4720274,,,357
0.358,4.7374563,2.46026148,,,358
0.359,4.74689622,2.44826001,,,359
0.36,4.75639296,2.43599481,,,360
0.361,4.76587399,2.42338724,,,361
0.362,4.77533373,2.41044363,,,362
0.363,4.78469874,2.39723234,,,363
0.364,4.7939469,2.38377968,,,364
0.365,4.80305395,2.37005587,,,365
0.366,4.81197067,2.35600066,,,366
0.367,4.820689,2.3416275,,,367
0.368,4.82908317,2.32704569,,,368
0.369,4.8371221,2.31228858,,,369
0.37,4.84482196,2.29735911,,,370
0.371,4.8521816,2.28225277,,,371
0.372,4.85919293,2.26698269,,,372
0.373,4.86572887,2.25167952,,,373
0.374,4.87172467,2.23640723,,,374
0.375,4.87720231,2.22119128,,,375
0.376,4.88221616,2.20608774,,,376
0.377,4.88678682,2.19111092,,,377
0.378,4.89092991,2.17636627,,,378
0.379,4.89460397,2.16196633,,,379
0.38,4.89782089,2.14794481,,,380
0.381,4.90064447,2.13437637,,,381
0.382,4.9031407,2.12129607,,,382
0.383,4.90539193,2.10877049,,,383
0.384,4.90747915,2.09687064,,,384
0.385,4.90945427,2.08562137,,,385
0.386,4.91143642,2.07499305,,,386
0.387,4.91351837,2.06498585,,,387
0.388,4.9157801,2.05559616,,,388
0.389,4.91832263,2.04680924,,,389
0.39,4.92123244,2.03859806,,,390
0.391,4.92460644,2.03088549,,,391
0.392,4.92850946,2.02359668,,,392
0.393,4.93298754,2.01662595,,,393
0.394,4.93809669,2.00983563,,,394
0.395,4.94384948,2.00317017,,,395
0.396,4.95023714,1.99654626,,,396
0.397,4.95724236,1.98979611,,,397
0.398,4.96485058,1.98287787,,,398
0.399,4.97300409,1.97569059,,,399
0.4,4.98157733,1.96811723,,,400
0.401,4.9905423,1.96014954,,,401
0.402,4.99979075,1.95175652,,,402
0.403,5.00918313,1.94288948,,,403
0.404,5.01870544,1.93355338,,,404
0.405,5.02825619,1.92378826,,,405
0.406,5.03766872,1.91366476,,,406
0.407,5.04693492,1.90319423,,,407
0.408,5.05602512,1.8924659,,,408
0.409,5.06487427,1.88163139,,,409
0.41,5.07348229,1.87070088,,,410
0.411,5.08187743,1.85973434,,,411
0.412,5.09011382,1.84893201,,,412
0.413,5.0981951,1.83831064,,,413
0.414,5.10616069,1.82788887,,,414
0.415,5.11423105,1.81779356,,,415
0.416,5.12243825,1.80804252,,,416
0.417,5.13079433,1.79863026,,,417
0.418,5.13956813,1.78951297,,,418
0.419,5.1488482,1.78067107,,,419
0.42,5.15862612,1.77210227,,,420
0.421,5.16909872,1.7636473,,,421
0.422,5.18041449,1.75515573,,,422
0.423,5.19255829,1.74663335,,,423
0.424,5.20556023,1.73794715,,,424
0.425,5.21948754,1.72873248,,,425
0.426,5.23432897,1.7189676,,,426
0.427,5.2500687,1.70861085,,,427
0.428,5.26660624,1.69731592,,,428
0.429,5.28385394,1.68497772,,,429
0.43,5.30180002,1.67161739,,,430
0.431,5.32027053,1.65703959,,,431
0.432,5.33902229,1.64102517,,,432
0.433,5.35803237,1.62357968,,,433
0.434,5.37721188,1.60465763,,,434
0.435,5.39625039,1.58415995,,,435
0.436,5.41496209,1.56213318,,,436
0.437,5.43334045,1.53860066,,,437
0.438,5.45106936,1.5135369,,,438
0.439,5.46790599,1.48702182,,,439
0.44,5.48381625,1.45909891,,,440
0.441,5.49872908,1.42984922,,,441
0.442,5.51246616,1.39943461,,,442
0.443,5.52490636,1.36805031,,,443
0.444,5.53605487,1.33572483,,,444
0.445,5.54571706,1.30260203,,,445
0.446,5.55381779,1.26880214,,,446
0.447,5.56033107,1.23447138,,,447
0.448,5.56525361,1.19966649,,,448
0.449,5.56850039,1.16460697,,,449
0.45,5.57008194,1.12945001,,,450
0.451,5.57001232,1.09434637,,,451
0.452,5.56832705,1.05943154,,,452
0.453,5.56505997,1.0248661,,,453
0.454,5.56033507,0.990716633,,,454
0.455,5.55424135,0.957030471,,,455
0.456,5.54681342,0.923965633,,,456
0.457,5.53806706,0.89158447,,,457
0.458,5.52808508,0.859970093,,,458
0.459,5.51693313,0.82918076,,,459
0.46,5.50478418,0.79934898,,,460
0.461,5.49167668,0.770495008,,,461
