nm,n,k ,,,nm
0.887,3.81970328,0.016250649,,,887
0.888,3.81900754,0.016186212,,,888
0.889,3.8183146,0.016122143,,,889
0.89,3.81762446,0.016058439,,,890
0.891,3.8169371,0.015995099,,,891
0.892,3.81625251,0.015932121,,,892
0.893,3.81557068,0.015869498,,,893
0.894,3.8148916,0.015807231,,,894
0.895,3.81421525,0.015745315,,,895
0.896,3.81354163,0.015683748,,,896
0.897,3.81287073,0.015622527,,,897
0.898,3.81220253,0.015561649,,,898
0.899,3.81153702,0.015501114,,,899
0.9,3.81087419,0.01544092,,,900
0.901,3.81021403,0.015381064,,,901
0.902,3.80955652,0.015321546,,,902
0.903,3.80890165,0.015262364,,,903
0.904,3.80824942,0.015203516,,,904
0.905,3.8075998,0.015145001,,,905
0.906,3.80695279,0.015086817,,,906
0.907,3.80630834,0.015028957,,,907
0.908,3.80566644,0.014971418,,,908
0.909,3.80502707,0.014914197,,,909
0.91,3.80439022,0.014857294,,,910
0.911,3.80375586,0.014800704,,,911
0.912,3.80312396,0.014744422,,,912
0.913,3.8024945,0.014688447,,,913
0.914,3.80186749,0.014632776,,,914
0.915,3.8012429,0.014577409,,,915
0.916,3.80062073,0.014522344,,,916
0.917,3.80000096,0.014467579,,,917
0.918,3.79938358,0.014413114,,,918
0.919,3.79876859,0.014358946,,,919
0.92,3.79815597,0.014305075,,,920
0.921,3.79754571,0.014251499,,,921
0.922,3.7969378,0.014198215,,,922
0.923,3.79633224,0.01414522,,,923
0.924,3.79572901,0.014092512,,,924
0.925,3.7951281,0.014040091,,,925
0.926,3.79452951,0.013987954,,,926
0.927,3.7939332,0.013936099,,,927
0.928,3.79333917,0.01388452,,,928
0.929,3.79274739,0.013833215,,,929
0.93,3.79215787,0.013782183,,,930
0.931,3.79157057,0.013731423,,,931
0.932,3.79098551,0.013680934,,,932
0.933,3.79040267,0.013630714,,,933
0.934,3.78982203,0.013580762,,,934
0.935,3.78924359,0.013531077,,,935
0.936,3.78866735,0.013481657,,,936
0.937,3.78809327,0.013432501,,,937
0.938,3.78752135,0.013383604,,,938
0.939,3.78695155,0.013334963,,,939
0.94,3.78638388,0.013286576,,,940
0.941,3.78581831,0.013238444,,,941
0.942,3.78525484,0.013190563,,,942
0.943,3.78469347,0.013142934,,,943
0.944,3.7841342,0.013095557,,,944
0.945,3.78357705,0.013048431,,,945
0.946,3.783022,0.013001557,,,946
0.947,3.78246905,0.012954933,,,947
0.948,3.78191818,0.012908557,,,948
0.949,3.78136939,0.012862428,,,949
0.95,3.78082268,0.012816546,,,950
0.951,3.78027802,0.012770909,,,951
0.952,3.77973541,0.012725517,,,952
0.953,3.77919485,0.012680366,,,953
0.954,3.77865632,0.012635457,,,954
0.955,3.77811982,0.012590785,,,955
0.956,3.77758535,0.01254635,,,956
0.957,3.77705288,0.012502152,,,957
0.958,3.77652242,0.012458188,,,958
0.959,3.77599396,0.012414458,,,959
0.96,3.77546748,0.012370961,,,960
0.961,3.77494295,0.012327692,,,961
0.962,3.77442028,0.012284637,,,962
0.963,3.77389946,0.012241797,,,963
0.964,3.77338046,0.012199169,,,964
0.965,3.7728633,0.012156752,,,965
0.966,3.77234796,0.012114546,,,966
0.967,3.77183443,0.01207255,,,967
0.968,3.7713227,0.012030762,,,968
0.969,3.77081278,0.011989183,,,969
0.97,3.77030464,0.011947809,,,970
0.971,3.76979826,0.011906639,,,971
0.972,3.76929364,0.011865668,,,972
0.973,3.76879075,0.011824898,,,973
0.974,3.76828961,0.011784327,,,974
0.975,3.76779019,0.011743954,,,975
0.976,3.7672925,0.011703778,,,976
0.977,3.76679652,0.011663799,,,977
0.978,3.76630225,0.011624014,,,978
0.979,3.7658097,0.011584427,,,979
0.98,3.76531895,0.01154504,,,980
0.981,3.76482999,0.011505855,,,981
0.982,3.76434282,0.01146687,,,982
0.983,3.76385743,0.011428084,,,983
0.984,3.76337381,0.011389497,,,984
0.985,3.76289196,0.011351107,,,985
0.986,3.76241186,0.011312914,,,986
0.987,3.76193351,0.011274916,,,987
0.988,3.76145689,0.01123711,,,988
0.989,3.760982,0.011199494,,,989
0.99,3.76050881,0.011162067,,,990
0.991,3.76003733,0.011124827,,,991
0.992,3.75956754,0.011087775,,,992
0.993,3.75909944,0.011050909,,,993
0.994,3.75863303,0.011014228,,,994
0.995,3.75816829,0.010977731,,,995
0.996,3.75770522,0.010941418,,,996
0.997,3.75724381,0.010905288,,,997
0.998,3.75678401,0.010869336,,,998
0.999,3.75632572,0.010833553,,,999
1,3.75586896,0.01079794,,,1000
1.001,3.7554137,0.010762495,,,1001
1.002,3.75495995,0.010727218,,,1002
1.003,3.7545077,0.010692107,,,1003
1.004,3.75405693,0.010657163,,,1004
1.005,3.75360766,0.010622385,,,1005
1.006,3.75315988,0.010587773,,,1006
1.007,3.75271362,0.010553327,,,1007
1.008,3.75226885,0.010519047,,,1008
1.009,3.75182557,0.010484931,,,1009
1.01,3.75138378,0.01045098,,,1010
1.011,3.75094348,0.010417192,,,1011
1.012,3.75050465,0.010383567,,,1012
1.013,3.75006728,0.010350103,,,1013
1.014,3.74963138,0.010316801,,,1014
1.015,3.74919694,0.01028366,,,1015
1.016,3.74876396,0.010250678,,,1016
1.017,3.74833242,0.010217856,,,1017
1.018,3.74790241,0.010185196,,,1018
1.019,3.74747393,0.010152699,,,1019
1.02,3.74704698,0.010120364,,,1020
1.021,3.74662155,0.01008819,,,1021
1.022,3.74619763,0.010056176,,,1022
1.023,3.74577523,0.010024323,,,1023
1.024,3.7453543,0.009992625,,,1024
1.025,3.7449348,0.009961076,,,1025
1.026,3.74451669,0.009929674,,,1026
1.027,3.74409999,0.009898417,,,1027
1.028,3.74368468,0.009867307,,,1028
1.029,3.74327076,0.009836341,,,1029
1.03,3.74285822,0.009805519,,,1030
1.031,3.74244706,0.009774841,,,1031
1.032,3.74203727,0.009744306,,,1032
1.033,3.74162885,0.009713913,,,1033
1.034,3.74122179,0.009683662,,,1034
1.035,3.74081608,0.009653552,,,1035
1.036,3.74041173,0.009623583,,,1036
1.037,3.74000872,0.009593754,,,1037
1.038,3.739607,0.00956406,,,1038
1.039,3.73920655,0.009534498,,,1039
1.04,3.73880735,0.009505066,,,1040
1.041,3.7384094,0.009475766,,,1041
1.042,3.73801269,0.009446595,,,1042
1.043,3.73761723,0.009417554,,,1043
1.044,3.73722308,0.009388647,,,1044
1.045,3.73683024,0.009359874,,,1045
1.046,3.7364387,0.009331234,,,1046
1.047,3.73604847,0.009302727,,,1047
1.048,3.73565953,0.009274352,,,1048
1.049,3.73527189,0.009246109,,,1049
1.05,3.73488552,0.009217997,,,1050
1.051,3.73450044,0.009190015,,,1051
1.052,3.73411664,0.009162163,,,1052
1.053,3.7337341,0.009134441,,,1053
1.054,3.73335283,0.009106847,,,1054
1.055,3.73297282,0.009079382,,,1055
1.056,3.73259407,0.009052044,,,1056
1.057,3.73221657,0.009024834,,,1057
1.058,3.73184031,0.00899775,,,1058
1.059,3.73146529,0.008970792,,,1059
1.06,3.73109151,0.008943957,,,1060
1.061,3.73071894,0.008917246,,,1061
1.062,3.7303476,0.008890658,,,1062
1.063,3.72997746,0.008864191,,,1063
1.064,3.72960845,0.008837838,,,1064
1.065,3.72924054,0.0088116,,,1065
1.066,3.72887375,0.008785474,,,1066
1.067,3.72850806,0.008759462,,,1067
1.068,3.72814347,0.008733561,,,1068
1.069,3.72777997,0.008707773,,,1069
1.07,3.72741757,0.008682096,,,1070
1.071,3.72705626,0.008656529,,,1071
1.072,3.72669603,0.008631073,,,1072
1.073,3.72633688,0.008605727,,,1073
1.074,3.72597881,0.008580491,,,1074
1.075,3.72562181,0.008555364,,,1075
1.076,3.72526587,0.008530345,,,1076
1.077,3.724911,0.008505434,,,1077
1.078,3.72455719,0.008480632,,,1078
1.079,3.72420444,0.008455936,,,1079
1.08,3.72385274,0.008431347,,,1080
1.081,3.7235021,0.008406866,,,1081
1.082,3.72315255,0.008382492,,,1082
1.083,3.72280408,0.008358225,,,1083
1.084,3.72245673,0.008334066,,,1084
1.085,3.72211053,0.008310017,,,1085
1.086,3.72176548,0.008286076,,,1086
1.087,3.72142158,0.008262245,,,1087
1.088,3.72107881,0.008238521,,,1088
1.089,3.72073719,0.008214906,,,1089
1.09,3.72039669,0.008191397,,,1090
1.091,3.72005733,0.008167996,,,1091
1.092,3.71971908,0.008144701,,,1092
1.093,3.71938196,0.008121511,,,1093
1.094,3.71904595,0.008098427,,,1094
1.095,3.71871105,0.008075449,,,1095
1.096,3.71837725,0.008052575,,,1096
1.097,3.71804456,0.008029805,,,1097
1.098,3.71771296,0.008007139,,,1098
1.099,3.71738246,0.007984576,,,1099
1.1,3.71705305,0.007962116,,,1100
1.101,3.71672472,0.007939759,,,1101
1.102,3.71639748,0.007917504,,,1102
1.103,3.71607131,0.00789535,,,1103
1.104,3.71574619,0.007873296,,,1104
1.105,3.71542205,0.007851336,,,1105
1.106,3.71509886,0.007829466,,,1106
1.107,3.71477659,0.007807684,,,1107
1.108,3.71445525,0.007785991,,,1108
1.109,3.71413483,0.007764386,,,1109
1.11,3.71381532,0.007742869,,,1110
1.111,3.71349673,0.00772144,,,1111
1.112,3.71317905,0.007700097,,,1112
1.113,3.71286227,0.007678841,,,1113
1.114,3.7125464,0.007657672,,,1114
1.115,3.71223143,0.007636588,,,1115
1.116,3.71191736,0.00761559,,,1116
1.117,3.71160418,0.007594678,,,1117
1.118,3.7112919,0.007573851,,,1118
1.119,3.7109805,0.007553108,,,1119
1.12,3.71066998,0.007532449,,,1120
1.121,3.71036035,0.007511875,,,1121
1.122,3.7100516,0.007491384,,,1122
1.123,3.70974372,0.007470977,,,1123
1.124,3.70943671,0.007450653,,,1124
1.125,3.70913057,0.007430411,,,1125
1.126,3.7088253,0.007410252,,,1126
1.127,3.70852089,0.007390174,,,1127
1.128,3.70821735,0.007370179,,,1128
1.129,3.70791472,0.007350265,,,1129
1.13,3.70761299,0.007330435,,,1130
1.131,3.70731216,0.007310686,,,1131
1.132,3.70701223,0.00729102,,,1132
1.133,3.7067132,0.007271435,,,1133
1.134,3.70641506,0.007251931,,,1134
1.135,3.7061178,0.007232508,,,1135
1.136,3.70582144,0.007213166,,,1136
1.137,3.70552595,0.007193904,,,1137
1.138,3.70523134,0.007174721,,,1138
1.139,3.70493761,0.007155619,,,1139
1.14,3.70464475,0.007136595,,,1140
1.141,3.70435276,0.007117651,,,1141
1.142,3.70406163,0.007098786,,,1142
1.143,3.70377137,0.007079998,,,1143
1.144,3.70348197,0.007061289,,,1144
1.145,3.70319343,0.007042658,,,1145
1.146,3.70290574,0.007024104,,,1146
1.147,3.7026189,0.007005627,,,1147
1.148,3.70233291,0.006987227,,,1148
1.149,3.70204776,0.006968904,,,1149
1.15,3.70176345,0.006950656,,,1150
1.151,3.70148,0.006932486,,,1151
1.152,3.70119742,0.006914392,,,1152
1.153,3.7009157,0.006896374,,,1153
1.154,3.70063482,0.006878429,,,1154
1.155,3.70035477,0.006860558,,,1155
1.156,3.70007554,0.006842759,,,1156
1.157,3.69979713,0.006825031,,,1157
1.158,3.69951954,0.006807376,,,1158
1.159,3.69924277,0.006789793,,,1159
1.16,3.69896682,0.006772281,,,1160
1.161,3.69869167,0.00675484,,,1161
1.162,3.69841733,0.006737469,,,1162
1.163,3.6981438,0.00672017,,,1163
1.164,3.69787107,0.00670294,,,1164
1.165,3.69759914,0.00668578,,,1165
1.166,3.69732801,0.006668691,,,1166
1.167,3.69705767,0.00665167,,,1167
1.168,3.69678812,0.006634719,,,1168
1.169,3.69651936,0.006617837,,,1169
1.17,3.69625138,0.006601023,,,1170
1.171,3.69598419,0.006584278,,,1171
1.172,3.69571778,0.006567601,,,1172
1.173,3.69545214,0.006550991,,,1173
1.174,3.69518728,0.00653445,,,1174
1.175,3.69492317,0.006517974,,,1175
1.176,3.69465976,0.00650156,,,1176
1.177,3.69439707,0.006485209,,,1177
1.178,3.69413509,0.00646892,,,1178
1.179,3.6938738,0.006452693,,,1179
1.18,3.69361323,0.006436528,,,1180
1.181,3.69335336,0.006420424,,,1181
1.182,3.6930942,0.006404381,,,1182
1.183,3.69283574,0.006388399,,,1183
1.184,3.69257798,0.006372477,,,1184
1.185,3.69232092,0.006356616,,,1185
1.186,3.69206456,0.006340815,,,1186
1.187,3.69180889,0.006325074,,,1187
1.188,3.69155391,0.006309393,,,1188
1.189,3.69129962,0.006293772,,,1189
1.19,3.69104602,0.006278209,,,1190
1.191,3.6907931,0.006262706,,,1191
1.192,3.69054086,0.006247262,,,1192
1.193,3.6902893,0.006231876,,,1193
1.194,3.69003842,0.006216549,,,1194
1.195,3.68978822,0.00620128,,,1195
1.196,3.68953869,0.006186068,,,1196
1.197,3.68928982,0.006170915,,,1197
1.198,3.68904163,0.006155819,,,1198
1.199,3.6887941,0.00614078,,,1199
1.2,3.68854725,0.006125799,,,1200
1.201,3.6883011,0.006110877,,,1201
1.202,3.68805565,0.006096013,,,1202
1.203,3.6878109,0.006081208,,,1203
1.204,3.68756685,0.00606646,,,1204
1.205,3.68732348,0.006051771,,,1205
1.206,3.68708081,0.006037138,,,1206
1.207,3.68683883,0.006022563,,,1207
1.208,3.68659753,0.006008045,,,1208
1.209,3.6863569,0.005993582,,,1209
1.21,3.68611695,0.005979174,,,1210
1.211,3.68587767,0.005964822,,,1211
1.212,3.68563906,0.005950524,,,1212
1.213,3.68540112,0.005936282,,,1213
1.214,3.68516384,0.005922094,,,1214
1.215,3.68492723,0.005907961,,,1215
1.216,3.68469127,0.005893882,,,1216
1.217,3.68445598,0.005879858,,,1217
1.218,3.68422134,0.005865887,,,1218
1.219,3.68398735,0.005851969,,,1219
1.22,3.68375402,0.005838106,,,1220
1.221,3.68352133,0.005824295,,,1221
1.222,3.6832893,0.005810538,,,1222
1.223,3.6830579,0.005796833,,,1223
1.224,3.68282716,0.005783181,,,1224
1.225,3.68259705,0.005769582,,,1225
1.226,3.68236757,0.005756035,,,1226
1.227,3.68213871,0.005742537,,,1227
1.228,3.68191046,0.005729089,,,1228
1.229,3.68168282,0.005715691,,,1229
1.23,3.68145578,0.005702342,,,1230
1.231,3.68122935,0.005689043,,,1231
1.232,3.68100352,0.005675792,,,1232
1.233,3.68077829,0.005662591,,,1233
1.234,3.68055365,0.005649437,,,1234
1.235,3.68032962,0.005636333,,,1235
1.236,3.68010617,0.005623276,,,1236
1.237,3.67988331,0.005610267,,,1237
1.238,3.67966102,0.005597304,,,1238
1.239,3.67943931,0.005584388,,,1239
1.24,3.67921817,0.005571518,,,1240
1.241,3.6789976,0.005558694,,,1241
1.242,3.6787776,0.005545915,,,1242
1.243,3.67855816,0.005533183,,,1243
1.244,3.67833929,0.005520496,,,1244
1.245,3.67812098,0.005507855,,,1245
1.246,3.67790324,0.005495258,,,1246
1.247,3.67768605,0.005482707,,,1247
1.248,3.67746942,0.005470201,,,1248
1.249,3.67725335,0.00545774,,,1249
1.25,3.67703783,0.005445323,,,1250
1.251,3.67682287,0.005432951,,,1251
1.252,3.67660845,0.005420623,,,1252
1.253,3.67639459,0.005408339,,,1253
1.254,3.67618127,0.005396099,,,1254
1.255,3.67596851,0.005383902,,,1255
1.256,3.6757563,0.00537175,,,1256
1.257,3.67554464,0.00535964,,,1257
1.258,3.67533352,0.005347574,,,1258
1.259,3.67512296,0.005335551,,,1259
1.26,3.67491293,0.00532357,,,1260
1.261,3.67470345,0.005311633,,,1261
1.262,3.67449451,0.005299738,,,1262
1.263,3.6742861,0.005287885,,,1263
1.264,3.67407823,0.005276075,,,1264
1.265,3.6738709,0.005264307,,,1265
1.266,3.6736641,0.005252581,,,1266
1.267,3.67345784,0.005240896,,,1267
1.268,3.67325212,0.005229254,,,1268
1.269,3.67304695,0.005217654,,,1269
1.27,3.67284232,0.005206096,,,1270
1.271,3.67263823,0.005194579,,,1271
1.272,3.67243467,0.005183103,,,1272
1.273,3.67223166,0.005171669,,,1273
1.274,3.67202917,0.005160276,,,1274
1.275,3.67182722,0.005148925,,,1275
1.276,3.67162581,0.005137614,,,1276
1.277,3.67142492,0.005126343,,,1277
1.278,3.67122456,0.005115114,,,1278
1.279,3.67102472,0.005103924,,,1279
1.28,3.67082541,0.005092775,,,1280
1.281,3.67062663,0.005081666,,,1281
1.282,3.67042836,0.005070597,,,1282
1.283,3.6702306,0.005059567,,,1283
1.284,3.67003336,0.005048576,,,1284
1.285,3.66983662,0.005037623,,,1285
1.286,3.6696404,0.005026709,,,1286
1.287,3.66944468,0.005015834,,,1287
1.288,3.66924947,0.005004996,,,1288
1.289,3.66905476,0.004994197,,,1289
1.29,3.66886055,0.004983436,,,1290
1.291,3.66866684,0.004972712,,,1291
1.292,3.66847363,0.004962027,,,1292
1.293,3.66828092,0.004951379,,,1293
1.294,3.6680887,0.004940769,,,1294
1.295,3.66789698,0.004930195,,,1295
1.296,3.66770575,0.00491966,,,1296
1.297,3.66751501,0.004909161,,,1297
1.298,3.66732476,0.004898699,,,1298
1.299,3.667135,0.004888274,,,1299
1.3,3.6669457,0.004877884,,,1300
1.301,3.66675687,0.004867529,,,1301
1.302,3.66656851,0.004857209,,,1302
1.303,3.66638062,0.004846925,,,1303
1.304,3.66619319,0.004836675,,,1304
1.305,3.66600623,0.00482646,,,1305
1.306,3.66581972,0.00481628,,,1306
1.307,3.66563368,0.004806134,,,1307
1.308,3.6654481,0.004796023,,,1308
1.309,3.66526297,0.004785946,,,1309
1.31,3.6650783,0.004775903,,,1310
1.311,3.66489408,0.004765894,,,1311
1.312,3.66471032,0.004755919,,,1312
1.313,3.66452699,0.004745976,,,1313
1.314,3.6643441,0.004736066,,,1314
1.315,3.66416165,0.004726189,,,1315
1.316,3.66397964,0.004716344,,,1316
1.317,3.66379806,0.004706531,,,1317
1.318,3.66361691,0.004696751,,,1318
1.319,3.6634362,0.004687003,,,1319
1.32,3.66325592,0.004677287,,,1320
1.321,3.66307608,0.004667603,,,1321
1.322,3.66289666,0.004657951,,,1322
1.323,3.66271766,0.00464833,,,1323
1.324,3.6625391,0.004638741,,,1324
1.325,3.66236096,0.004629184,,,1325
1.326,3.66218324,0.004619658,,,1326
1.327,3.66200594,0.004610163,,,1327
1.328,3.66182907,0.004600699,,,1328
1.329,3.66165262,0.004591267,,,1329
1.33,3.66147658,0.004581866,,,1330
1.331,3.66130096,0.004572495,,,1331
1.332,3.66112576,0.004563155,,,1332
1.333,3.66095098,0.004553846,,,1333
1.334,3.66077663,0.004544568,,,1334
1.335,3.6606027,0.004535321,,,1335
1.336,3.6604292,0.004526105,,,1336
1.337,3.66025613,0.004516919,,,1337
1.338,3.66008347,0.004507764,,,1338
1.339,3.65991124,0.004498639,,,1339
1.34,3.65973943,0.004489544,,,1340
1.341,3.65956803,0.00448048,,,1341
1.342,3.65939706,0.004471446,,,1342
1.343,3.6592265,0.004462442,,,1343
1.344,3.65905638,0.004453468,,,1344
1.345,3.65888668,0.004444525,,,1345
1.346,3.6587174,0.004435611,,,1346
1.347,3.65854855,0.004426727,,,1347
1.348,3.65838012,0.004417872,,,1348
1.349,3.65821211,0.004409048,,,1349
1.35,3.65804452,0.004400253,,,1350
1.351,3.65787735,0.004391487,,,1351
1.352,3.6577106,0.004382751,,,1352
1.353,3.65754426,0.004374044,,,1353
1.354,3.65737834,0.004365366,,,1354
1.355,3.65721283,0.004356717,,,1355
1.356,3.65704774,0.004348097,,,1356
1.357,3.65688305,0.004339506,,,1357
1.358,3.65671878,0.004330944,,,1358
1.359,3.65655491,0.00432241,,,1359
1.36,3.65639145,0.004313905,,,1360
1.361,3.65622839,0.004305429,,,1361
1.362,3.65606574,0.004296981,,,1362
1.363,3.6559035,0.004288561,,,1363
1.364,3.65574165,0.004280169,,,1364
1.365,3.65558021,0.004271806,,,1365
1.366,3.65541916,0.00426347,,,1366
1.367,3.65525852,0.004255162,,,1367
1.368,3.65509827,0.004246882,,,1368
1.369,3.6549384,0.004238629,,,1369
1.37,3.65477891,0.004230402,,,1370
1.371,3.6546198,0.004222202,,,1371
1.372,3.65446105,0.004214027,,,1372
1.373,3.65430268,0.004205878,,,1373
1.374,3.65414468,0.004197756,,,1374
1.375,3.65398705,0.004189659,,,1375
1.376,3.65382977,0.004181587,,,1376
1.377,3.65367286,0.004173539,,,1377
1.378,3.65351629,0.004165517,,,1378
1.379,3.65336008,0.004157518,,,1379
1.38,3.65320422,0.004149545,,,1380
1.381,3.65304871,0.004141595,,,1381
1.382,3.65289355,0.00413367,,,1382
1.383,3.65273874,0.004125769,,,1383
1.384,3.65258428,0.004117892,,,1384
1.385,3.65243016,0.004110039,,,1385
1.386,3.65227639,0.00410221,,,1386
1.387,3.65212296,0.004094405,,,1387
1.388,3.65196988,0.004086624,,,1388
1.389,3.65181713,0.004078866,,,1389
1.39,3.65166473,0.004071132,,,1390
1.391,3.65151268,0.004063422,,,1391
1.392,3.65136096,0.004055735,,,1392
1.393,3.65120958,0.004048072,,,1393
1.394,3.65105853,0.004040432,,,1394
1.395,3.65090783,0.004032815,,,1395
1.396,3.65075746,0.004025221,,,1396
1.397,3.65060742,0.004017651,,,1397
1.398,3.65045772,0.004010104,,,1398
1.399,3.65030835,0.004002579,,,1399
1.4,3.65015931,0.003995078,,,1400
1.401,3.65001061,0.003987599,,,1401
1.402,3.64986223,0.003980143,,,1402
1.403,3.64971418,0.00397271,,,1403
1.404,3.64956646,0.003965299,,,1404
1.405,3.64941907,0.003957911,,,1405
1.406,3.64927201,0.003950546,,,1406
1.407,3.64912527,0.003943203,,,1407
1.408,3.64897888,0.003935882,,,1408
1.409,3.64883281,0.003928584,,,1409
1.41,3.64868708,0.003921309,,,1410
1.411,3.6485417,0.003914056,,,1411
1.412,3.64839665,0.003906826,,,1412
1.413,3.64825195,0.003899618,,,1413
1.414,3.64810759,0.003892432,,,1414
1.415,3.64796356,0.003885269,,,1415
1.416,3.64781987,0.003878127,,,1416
1.417,3.64767652,0.003871008,,,1417
1.418,3.6475335,0.003863911,,,1418
1.419,3.64739082,0.003856836,,,1419
1.42,3.64724847,0.003849783,,,1420
1.421,3.64710645,0.003842752,,,1421
1.422,3.64696477,0.003835742,,,1422
1.423,3.64682342,0.003828755,,,1423
1.424,3.64668239,0.003821789,,,1424
1.425,3.6465417,0.003814844,,,1425
1.426,3.64640133,0.003807921,,,1426
1.427,3.64626129,0.00380102,,,1427
1.428,3.64612157,0.003794139,,,1428
1.429,3.64598218,0.003787281,,,1429
1.43,3.64584312,0.003780443,,,1430
1.431,3.64570437,0.003773626,,,1431
1.432,3.64556595,0.003766831,,,1432
1.433,3.64542785,0.003760057,,,1433
1.434,3.64529007,0.003753303,,,1434
1.435,3.64515261,0.003746571,,,1435
1.436,3.64501547,0.003739859,,,1436
1.437,3.64487865,0.003733169,,,1437
1.438,3.64474214,0.003726499,,,1438
1.439,3.64460595,0.003719849,,,1439
1.44,3.64447007,0.00371322,,,1440
1.441,3.64433451,0.003706612,,,1441
1.442,3.64419926,0.003700024,,,1442
1.443,3.64406432,0.003693457,,,1443
1.444,3.64392969,0.003686909,,,1444
1.445,3.64379538,0.003680382,,,1445
1.446,3.64366136,0.003673875,,,1446
1.447,3.64352763,0.003667386,,,1447
1.448,3.6433942,0.003660917,,,1448
1.449,3.64326106,0.003654465,,,1449
1.45,3.6431282,0.003648033,,,1450
1.451,3.64299564,0.003641619,,,1451
1.452,3.64286336,0.003635223,,,1452
1.453,3.64273137,0.003628846,,,1453
1.454,3.64259967,0.003622487,,,1454
1.455,3.64246825,0.003616147,,,1455
1.456,3.64233712,0.003609825,,,1456
1.457,3.64220627,0.003603521,,,1457
1.458,3.6420757,0.003597235,,,1458
1.459,3.64194542,0.003590968,,,1459
1.46,3.64181542,0.003584718,,,1460
1.461,3.6416857,0.003578487,,,1461
1.462,3.64155626,0.003572273,,,1462
1.463,3.6414271,0.003566078,,,1463
1.464,3.64129822,0.0035599,,,1464
1.465,3.64116961,0.00355374,,,1465
1.466,3.64104129,0.003547598,,,1466
1.467,3.64091324,0.003541473,,,1467
1.468,3.64078546,0.003535366,,,1468
1.469,3.64065796,0.003529277,,,1469
1.47,3.64053074,0.003523205,,,1470
1.471,3.64040378,0.00351715,,,1471
1.472,3.6402771,0.003511113,,,1472
1.473,3.6401507,0.003505093,,,1473
1.474,3.64002456,0.003499091,,,1474
1.475,3.63989869,0.003493106,,,1475
1.476,3.6397731,0.003487138,,,1476
1.477,3.63964777,0.003481187,,,1477
1.478,3.63952271,0.003475254,,,1478
1.479,3.63939791,0.003469337,,,1479
1.48,3.63927339,0.003463437,,,1480
1.481,3.63914913,0.003457555,,,1481
1.482,3.63902513,0.003451689,,,1482
1.483,3.6389014,0.00344584,,,1483
1.484,3.63877794,0.003440008,,,1484
1.485,3.63865475,0.003434193,,,1485
1.486,3.63853183,0.003428394,,,1486
1.487,3.63840918,0.003422613,,,1487
1.488,3.6382868,0.003416848,,,1488
1.489,3.63816468,0.003411099,,,1489
1.49,3.63804282,0.003405367,,,1490
1.491,3.63792122,0.003399651,,,1491
1.492,3.63779988,0.003393951,,,1492
1.493,3.63767881,0.003388267,,,1493
1.494,3.63755799,0.003382599,,,1494
1.495,3.63743742,0.003376947,,,1495
1.496,3.63731712,0.003371311,,,1496
1.497,3.63719707,0.003365691,,,1497
1.498,3.63707728,0.003360087,,,1498
1.499,3.63695774,0.003354498,,,1499
1.5,3.63683846,0.003348925,,,1500
1.501,3.63671943,0.003343368,,,1501
1.502,3.63660066,0.003337827,,,1502
1.503,3.63648213,0.003332301,,,1503
1.504,3.63636386,0.003326791,,,1504
1.505,3.63624584,0.003321296,,,1505
1.506,3.63612807,0.003315817,,,1506
1.507,3.63601055,0.003310353,,,1507
1.508,3.63589328,0.003304905,,,1508
1.509,3.63577626,0.003299472,,,1509
1.51,3.63565949,0.003294054,,,1510
1.511,3.63554296,0.003288651,,,1511
1.512,3.63542668,0.003283264,,,1512
1.513,3.63531064,0.003277892,,,1513
1.514,3.63519485,0.003272535,,,1514
1.515,3.6350793,0.003267193,,,1515
1.516,3.634964,0.003261866,,,1516
1.517,3.63484894,0.003256554,,,1517
1.518,3.63473412,0.003251257,,,1518
1.519,3.63461955,0.003245974,,,1519
1.52,3.63450522,0.003240707,,,1520
1.521,3.63439112,0.003235454,,,1521
1.522,3.63427727,0.003230217,,,1522
1.523,3.63416365,0.003224993,,,1523
1.524,3.63405028,0.003219785,,,1524
1.525,3.63393714,0.00321459,,,1525
1.526,3.63382424,0.00320941,,,1526
1.527,3.63371158,0.003204244,,,1527
1.528,3.63359915,0.003199093,,,1528
1.529,3.63348696,0.003193956,,,1529
1.53,3.633375,0.003188833,,,1530
1.531,3.63326328,0.003183724,,,1531
1.532,3.63315179,0.003178629,,,1532
1.533,3.63304054,0.003173548,,,1533
1.534,3.63292952,0.003168481,,,1534
1.535,3.63281872,0.003163427,,,1535
1.536,3.63270816,0.003158387,,,1536
1.537,3.63259783,0.00315336,,,1537
1.538,3.63248773,0.003148347,,,1538
1.539,3.63237786,0.003143348,,,1539
1.54,3.63226821,0.003138361,,,1540
1.541,3.63215879,0.003133389,,,1541
1.542,3.6320496,0.003128429,,,1542
1.543,3.63194064,0.003123483,,,1543
1.544,3.6318319,0.00311855,,,1544
1.545,3.63172338,0.00311363,,,1545
1.546,3.63161509,0.003108723,,,1546
1.547,3.63150703,0.00310383,,,1547
1.548,3.63139918,0.003098949,,,1548
1.549,3.63129156,0.003094082,,,1549
1.55,3.63118417,0.003089227,,,1550
1.551,3.63107699,0.003084386,,,1551
1.552,3.63097003,0.003079557,,,1552
1.553,3.6308633,0.003074742,,,1553
1.554,3.63075678,0.003069939,,,1554
1.555,3.63065049,0.003065149,,,1555
1.556,3.63054441,0.003060372,,,1556
1.557,3.63043855,0.003055608,,,1557
